Year,RA,Rate
2013,Major Cities,391.9
2014,Major Cities,400.1
2015,Major Cities,409.6
2016,Major Cities,419.7
2017,Major Cities,415
2018,Major Cities,412.7
2019,Major Cities,391.2
2020,Major Cities,408
2021,Major Cities,396.8
2022,Major Cities,406.9
2023,Major Cities,410.1
2013,Inner Regional,389.7
2014,Inner Regional,403.6
2015,Inner Regional,415.5
2016,Inner Regional,411.9
2017,Inner Regional,420.2
2018,Inner Regional,422.8
2019,Inner Regional,401.8
2020,Inner Regional,420.7
2021,Inner Regional,401.1
2022,Inner Regional,411
2023,Inner Regional,421.7
2013,Outer Regional,398.5
2014,Outer Regional,408.2
2015,Outer Regional,415.4
2016,Outer Regional,425.7
2017,Outer Regional,428.9
2018,Outer Regional,431.3
2019,Outer Regional,419.4
2020,Outer Regional,435.8
2021,Outer Regional,422.3
2022,Outer Regional,434.4
2023,Outer Regional,436.3
2013,Remote,447.7
2014,Remote,460.8
2015,Remote,479.4
2016,Remote,520.6
2017,Remote,535.7
2018,Remote,546.2
2019,Remote,540.3
2020,Remote,570.5
2021,Remote,532.2
2022,Remote,535.7
2023,Remote,541.8
2013,Very Remote,632.6
2014,Very Remote,677.4
2015,Very Remote,745.8
2016,Very Remote,823.6
2017,Very Remote,814.6
2018,Very Remote,774.4
2019,Very Remote,780
2020,Very Remote,767
2021,Very Remote,772.8
2022,Very Remote,821.3
2023,Very Remote,817.2
